2022.08.05 13:41:27;"Fool For Your Loving - Whitesnake"
2022.08.05 13:42:30;"Toti Suntem Putin Luati... - Pasarea Colibri"
2022.08.05 13:47:16;"Faint - Linkin Park"
2022.08.05 13:55:14;"Keep On Loving You - REO Speedwagon"
2022.08.05 13:57:59;"All She Wrote (Live) - Firehouse"
2022.08.05 14:03:22;"Personal Jesus - Marilyn Manson"
2022.08.05 14:07:08;"Open Your Heart - Europe"
2022.08.05 14:11:27;"Somebody To Love - W.A.S.P."
2022.08.05 14:14:09;"Carry On Wayward Son - Kansas"
2022.08.05 14:22:12;"Nunta - Phoenix"
2022.08.05 14:23:48;"Smells Like Teen Spirit - Nirvana"
2022.08.05 14:28:38;"Epilog - Vama Veche"
2022.08.05 14:33:27;"I Love Rock N' Roll - Joan Jett & The Blackhearts"
2022.08.05 14:39:22;"Creep - Radiohead"
2022.08.05 14:43:07;"Dream On - Nazareth"
2022.08.05 14:47:59;"Open Your Eyes - Guano Apes"
2022.08.05 14:50:08;"Pure Morning - Placebo"
2022.08.05 14:50:41;"The Bitter End - Placebo"
2022.08.05 14:52:50;"The Show Must Go On - Queen"
2022.08.05 14:56:06;"Wanted Dead Or Alive - Bon Jovi"
